CIF_Combo,into_default,snapshot_date,loan_purpose,balance_sum_eur,fx_rate,PD,EAD,Rating,Score,Class_Chan_Ref_LoDoc,Class_DTI,Class_Initial_LTV,Class_Pay_Ahead,Class_Pay_Hist,Class_Pay_Status,Class_Redraw_Change,Class_Repay_Stat,snapshot_year,balance_sum_loc
843246,0,31Jan2015,OO,0.28,1.44978,0.000159,23196.46,MA02,711,E,F,C,M,B,B,E,D,2015,0.40
292438,0,31Jan2015,IN,73309.10,1.44978,0.001481,43375.81,MA07,668,E,A,D,L,C,B,E,D,2015,106282.07
292438,0,31Jan2015,IN,73309.10,1.44978,0.001481,33952.63,MA07,668,E,A,D,L,C,B,E,D,2015,106282.07
292438,0,31Jan2015,IN,73309.10,1.44978,0.001481,8227.68,MA07,668,E,A,D,L,C,B,E,D,2015,106282.07
292438,0,31Jan2015,IN,73309.10,1.44978,0.001481,28983.52,MA07,668,E,A,D,L,C,B,E,D,2015,106282.07
684557,0,31Jan2015,OO,211795.96,1.44978,0.001427,126362.06,MA07,657,E,D,C,D,C,B,E,F,2015,307057.54
684557,0,31Jan2015,OO,211795.96,1.44978,0.001427,186836.63,MA07,657,E,D,C,D,C,B,E,F,2015,307057.54
127327,0,31Jan2015,OO,137854.63,1.44978,0.000393,223644.06,MA03,703,E,A,E,M,B,B,E,F,2015,199858.88
587204,0,31Jan2015,IN,97449.24,1.44978,0.007094,148319.94,MA12,625,D,A,D,K,C,B,C,F,2015,141279.96
985929,0,31Jan2015,OO,9235.86,1.44978,0.000393,125590.42,MA03,697,E,A,C,M,C,B,E,D,2015,13389.97
270677,0,31Jan2015,OO,3.70,1.44978,0.000159,11283.44,MA02,719,E,A,A,M,B,B,E,D,2015,5.37
852186,0,31Jan2015,IN,99251.15,1.44978,0.001481,18527.88,MA07,673,E,A,B,K,B,B,E,D,2015,143892.33
852186,0,31Jan2015,IN,99251.15,1.44978,0.001481,131938.52,MA07,673,E,A,B,K,B,B,E,D,2015,143892.33
144699,0,31Jan2015,OO,16.34,1.44978,0.000393,65614.51,MA03,700,D,A,C,M,B,B,E,D,2015,23.68
144699,0,31Jan2015,OO,16.34,1.44978,0.000393,129901.55,MA03,700,D,A,C,M,B,B,E,D,2015,23.68
401291,0,31Jan2015,OO,108628.41,1.44978,0.000393,252858.77,MA03,703,E,A,A,M,C,B,E,E,2015,157487.30
428439,0,31Jan2015,OO,68822.26,1.44978,0.000393,54628.83,MA03,692,E,A,E,M,C,B,E,D,2015,99777.14
428439,0,31Jan2015,OO,68822.26,1.44978,0.000393,69375.18,MA03,692,E,A,E,M,C,B,E,D,2015,99777.14
634152,0,31Jan2015,IN,104020.49,1.44978,0.000408,173758.53,MA03,702,E,A,C,M,B,B,A,E,2015,150806.83
673365,0,31Jan2015,OO,22685.94,1.44978,0.000159,245618.95,MA02,717,E,A,C,M,A,B,E,F,2015,32889.62
835495,0,31Jan2015,IN,122930.19,1.44978,0.003064,184482.75,MA10,647,C,A,B,K,C,B,E,F,2015,178221.72
254321,0,31Jan2015,IN,6991.59,1.44978,0.000165,19869.25,MA02,719,E,A,A,M,B,B,E,D,2015,10136.27
245842,0,31Jan2015,IN,2.39,1.44978,0.000165,17840.73,MA02,719,E,A,A,M,B,B,E,D,2015,3.47
346372,0,31Jan2015,IN,291275.90,1.44978,0.004611,110840.56,MA11,629,E,A,D,I,C,B,C,C,2015,422285.97
346372,0,31Jan2015,IN,291275.90,1.44978,0.004611,86052.61,MA11,629,E,A,D,I,C,B,C,C,2015,422285.97
346372,0,31Jan2015,IN,291275.90,1.44978,0.004611,238264.33,MA11,629,E,A,D,I,C,B,C,C,2015,422285.97
184858,0,31Jan2015,IN,0.00,1.44978,0.001481,36720.00,MA07,651,E,A,B,A,B,B,E,A,2015,0.00
149506,0,31Jan2015,OO,4939.09,1.44978,0.001427,8221.32,MA07,669,C,A,C,K,A,B,E,D,2015,7160.60
029341,0,31Jan2015,IN,10872.20,1.44978,0.000408,33437.58,MA03,701,E,A,B,M,C,B,E,D,2015,15762.30
231116,0,31Jan2015,IN,35430.85,1.44978,0.000408,44996.36,MA03,689,B,F,C,M,B,B,A,E,2015,51366.94
231116,0,31Jan2015,IN,35430.85,1.44978,0.000408,43109.77,MA03,689,B,F,C,M,B,B,A,E,2015,51366.94
292768,0,31Jan2015,OO,14.46,1.44978,0.004441,20.97,MA11,633,C,A,A,F,B,B,A,D,2015,20.97
828537,0,31Jan2015,IN,123341.55,1.44978,0.004611,23764.31,MA11,637,E,A,C,C,C,B,E,B,2015,178818.11
828537,0,31Jan2015,IN,123341.55,1.44978,0.004611,158915.47,MA11,637,E,A,C,C,C,B,E,B,2015,178818.11
822225,0,31Jan2015,OO,62017.27,1.44978,0.012566,91954.29,MA13,610,D,A,B,G,C,B,B,E,2015,89911.40
108837,0,31Jan2015,OO,12.71,1.44978,0.000159,46611.08,MA02,711,E,A,C,M,B,B,E,D,2015,18.43
405029,0,31Jan2015,OO,0.55,1.44978,0.000159,15373.48,MA02,719,E,A,A,M,B,B,E,D,2015,0.80
889412,0,31Jan2015,OO,74387.62,1.44978,0.000159,124541.88,MA02,714,C,C,D,M,A,B,E,E,2015,107845.69
617600,0,31Jan2015,IN,192391.92,1.44978,0.001481,110252.80,MA07,665,E,F,C,H,A,B,E,D,2015,278925.96
617600,0,31Jan2015,IN,192391.92,1.44978,0.001481,176444.91,MA07,665,E,F,C,H,A,B,E,D,2015,278925.96
967418,0,31Jan2015,IN,0.00,1.44978,0.003064,163200.00,MA10,646,E,A,D,A,B,B,E,A,2015,0.00
897622,0,31Jan2015,OO,135373.77,1.44978,0.004441,180850.24,MA11,629,E,A,C,I,D,B,D,A,2015,196262.19
897622,0,31Jan2015,OO,135373.77,1.44978,0.004441,28560.00,MA11,629,E,A,C,I,D,B,D,A,2015,196262.19
398451,0,31Jan2015,IN,0.00,1.44978,0.003064,261120.00,MA10,646,E,A,D,A,B,B,E,A,2015,0.00
660230,0,31Jan2015,OO,59917.11,1.44978,0.000159,105409.50,MA02,713,C,D,C,M,A,B,E,D,2015,86866.62
754686,0,31Jan2015,IN,0.19,1.44978,0.000165,3412.68,MA02,719,E,A,A,M,B,B,E,D,2015,0.28
941029,0,31Jan2015,IN,75264.24,1.44978,0.000408,46286.05,MA03,698,E,E,C,M,C,B,E,D,2015,109116.59
941029,0,31Jan2015,IN,75264.24,1.44978,0.000408,46286.05,MA03,698,E,E,C,M,C,B,E,D,2015,109116.59
941029,0,31Jan2015,IN,75264.24,1.44978,0.000408,13432.64,MA03,698,E,E,C,M,C,B,E,D,2015,109116.59
941029,0,31Jan2015,IN,75264.24,1.44978,0.000408,17150.43,MA03,698,E,E,C,M,C,B,E,D,2015,109116.59
846698,0,31Jan2015,OO,148496.28,1.44978,0.000393,229712.84,MA03,675,E,A,A,L,C,B,E,E,2015,215286.94
879779,0,31Jan2015,IN,119273.61,1.44978,0.000408,41271.00,MA03,694,D,C,B,M,C,B,E,C,2015,172920.49
879779,0,31Jan2015,IN,119273.61,1.44978,0.000408,103288.46,MA03,694,D,C,B,M,C,B,E,C,2015,172920.49
879779,0,31Jan2015,IN,119273.61,1.44978,0.000408,38118.93,MA03,694,D,C,B,M,C,B,E,C,2015,172920.49
091480,0,31Jan2015,OO,185672.50,1.44978,0.002951,294519.03,MA10,649,B,F,C,B,A,C,D,C,2015,269184.28
940199,0,31Jan2015,IN,0.49,1.44978,0.000165,74918.84,MA02,706,C,A,B,M,B,B,E,D,2015,0.71
940199,0,31Jan2015,IN,0.49,1.44978,0.000165,9506.91,MA02,706,C,A,B,M,B,B,E,D,2015,0.71
820631,0,31Jan2015,OO,23963.61,1.44978,0.001427,35459.19,MA07,661,E,B,D,J,B,B,C,D,2015,34741.96
810496,0,31Jan2015,IN,45516.19,1.44978,0.000408,130050.70,MA03,686,C,A,C,M,C,B,E,C,2015,65988.46
810496,0,31Jan2015,IN,45516.19,1.44978,0.000408,70986.41,MA03,686,C,A,C,M,C,B,E,C,2015,65988.46
539084,0,31Jan2015,IN,73791.21,1.44978,0.000165,41800.35,MA02,720,E,A,C,M,A,B,E,D,2015,106981.02
539084,0,31Jan2015,IN,73791.21,1.44978,0.000165,70116.22,MA02,720,E,A,C,M,A,B,E,D,2015,106981.02
539084,0,31Jan2015,IN,73791.21,1.44978,0.000165,308077.49,MA02,720,E,A,C,M,A,B,E,D,2015,106981.02
595779,0,31Jan2015,IN,0.00,1.44978,0.000408,39538.25,MA03,696,C,A,A,M,C,B,E,D,2015,0.00
364329,0,31Jan2015,OO,93821.61,1.44978,0.000393,189573.42,MA03,685,D,E,C,M,C,B,E,E,2015,136020.69
346367,0,31Jan2015,OO,196369.84,1.44978,0.004441,99600.46,MA11,630,C,E,D,B,C,C,A,C,2015,284693.07
346367,0,31Jan2015,OO,196369.84,1.44978,0.004441,204829.92,MA11,630,C,E,D,B,C,C,A,C,2015,284693.07
998417,0,31Jan2015,IN,81265.73,1.44978,0.004611,121030.57,MA11,633,C,F,E,G,B,B,E,E,2015,117817.42
904682,0,31Jan2015,IN,145107.53,1.44978,0.001481,122494.11,MA07,660,C,F,D,M,C,C,E,D,2015,210374.00
904682,0,31Jan2015,IN,145107.53,1.44978,0.001481,115011.18,MA07,660,C,F,D,M,C,C,E,D,2015,210374.00
725480,0,31Jan2015,OO,59709.00,1.44978,0.000159,97103.90,MA02,718,B,C,A,M,A,B,E,F,2015,86564.92
278651,0,31Jan2015,IN,87854.33,1.44978,0.021932,130016.02,MA14,595,C,F,E,F,C,B,B,E,2015,127369.46
333132,0,31Jan2015,IN,184197.98,1.44978,0.000165,93869.38,MA02,708,E,F,D,M,B,B,E,C,2015,267046.54
333132,0,31Jan2015,IN,184197.98,1.44978,0.000165,178518.10,MA02,708,E,F,D,M,B,B,E,C,2015,267046.54
333132,0,31Jan2015,IN,184197.98,1.44978,0.000165,11194.92,MA02,708,E,F,D,M,B,B,E,C,2015,267046.54
460076,0,31Jan2015,IN,14145.04,1.44978,0.004611,142800.00,MA11,638,C,A,C,A,B,B,E,A,2015,20507.20
502333,0,31Jan2015,IN,97296.62,1.44978,0.000165,80365.33,MA02,707,C,A,D,M,A,B,E,F,2015,141058.69
502333,0,31Jan2015,IN,97296.62,1.44978,0.000165,70603.83,MA02,707,C,A,D,M,A,B,E,F,2015,141058.69
303724,0,31Jan2015,IN,267040.86,1.44978,0.099365,67148.45,MA17,572,D,F,C,K,F,D,C,C,2015,387150.49
303724,0,31Jan2015,IN,267040.86,1.44978,0.099365,327755.59,MA17,572,D,F,C,K,F,D,C,C,2015,387150.49
372076,0,31Jan2015,OO,143.67,1.44978,0.000159,72195.73,MA02,706,C,A,B,M,B,B,E,D,2015,208.28
738008,0,31Jan2015,OO,100127.33,1.44978,0.000393,142422.54,MA03,675,B,E,C,M,C,B,A,F,2015,145162.60
738008,0,31Jan2015,OO,100127.33,1.44978,0.000393,35442.67,MA03,675,B,E,C,M,C,B,A,F,2015,145162.60
221130,0,31Jan2015,IN,284774.58,1.44978,0.013045,149103.57,MA13,606,C,D,D,C,C,C,A,C,2015,412860.49
221130,0,31Jan2015,IN,284774.58,1.44978,0.013045,272014.13,MA13,606,C,D,D,C,C,C,A,C,2015,412860.49
733352,0,31Jan2015,IN,114486.27,1.44978,0.000408,154259.86,MA03,686,C,F,C,M,C,B,E,C,2015,165979.90
733352,0,31Jan2015,IN,114486.27,1.44978,0.000408,28676.41,MA03,686,C,F,C,M,C,B,E,C,2015,165979.90
782581,0,31Jan2015,OO,76740.87,1.44978,0.004441,113482.53,MA11,636,C,D,E,F,A,B,E,E,2015,111257.38
300438,0,31Jan2015,IN,165903.76,1.44978,0.007094,145976.24,MA12,621,D,A,C,H,C,B,D,F,2015,240523.96
300438,0,31Jan2015,IN,165903.76,1.44978,0.007094,101602.20,MA12,621,D,A,C,H,C,B,D,F,2015,240523.96
483819,0,31Jan2015,OO,32269.72,1.44978,0.002951,79840.36,MA10,644,C,F,E,B,C,B,C,C,2015,46783.99
807198,0,31Jan2015,IN,243788.55,1.44978,0.004611,262187.82,MA11,636,C,E,D,B,B,C,C,C,2015,353439.76
807198,0,31Jan2015,IN,243788.55,1.44978,0.004611,98320.74,MA11,636,C,E,D,B,B,C,C,C,2015,353439.76
901914,0,31Jan2015,OO,443586.85,1.44978,0.002951,530400.00,MA10,641,B,E,C,B,B,C,A,C,2015,643103.35
901914,0,31Jan2015,OO,443586.85,1.44978,0.002951,128928.00,MA10,641,B,E,C,B,B,C,A,C,2015,643103.35
339764,0,31Jan2015,OO,0.00,1.44978,0.000159,39906.33,MA02,710,D,C,B,M,B,B,E,D,2015,0.00
250671,0,31Jan2015,IN,54223.55,1.44978,0.001481,78299.11,MA07,655,B,D,C,L,C,B,E,F,2015,78612.22
250671,0,31Jan2015,IN,54223.55,1.44978,0.001481,5680.80,MA07,655,B,D,C,L,C,B,E,F,2015,78612.22
664362,0,31Jan2015,IN,67446.38,1.44978,0.013045,99521.58,MA13,608,E,A,E,F,A,C,A,F,2015,97782.42
278413,0,31Jan2015,OO,0.63,1.44978,0.000159,7929.53,MA02,708,D,A,A,M,B,B,E,D,2015,0.92
534809,0,31Jan2015,OO,29322.62,1.44978,0.004441,51000.00,MA11,638,E,C,A,A,D,B,E,A,2015,42511.35
357426,0,31Jan2015,OO,20677.71,1.44978,0.001427,21462.74,MA07,652,D,A,A,K,C,B,E,D,2015,29978.12
357426,0,31Jan2015,OO,20677.71,1.44978,0.001427,9853.56,MA07,652,D,A,A,K,C,B,E,D,2015,29978.12
787481,0,31Jan2015,OO,156074.60,1.44978,0.006833,230799.32,MA12,616,E,D,D,E,A,C,A,F,2015,226273.84
528194,0,31Jan2015,IN,265830.32,1.44978,0.004611,393103.40,MA11,629,E,C,D,B,E,D,A,C,2015,385395.49
542995,0,31Jan2015,IN,110122.73,1.44978,0.004611,160200.87,MA11,636,B,F,D,D,A,D,E,D,2015,159653.73
542995,0,31Jan2015,IN,110122.73,1.44978,0.004611,714.19,MA11,636,B,F,D,D,A,D,E,D,2015,159653.73
542995,0,31Jan2015,IN,110122.73,1.44978,0.004611,1931.75,MA11,636,B,F,D,D,A,D,E,D,2015,159653.73
599685,0,31Jan2015,IN,123221.47,1.44978,0.001481,81097.70,MA07,673,C,A,E,B,B,B,E,C,2015,178644.02
599685,0,31Jan2015,IN,123221.47,1.44978,0.001481,60210.27,MA07,673,C,A,E,B,B,B,E,C,2015,178644.02
599685,0,31Jan2015,IN,123221.47,1.44978,0.001481,100312.11,MA07,673,C,A,E,B,B,B,E,C,2015,178644.02
015763,0,31Jan2015,IN,160741.12,1.44978,0.001481,105423.74,MA07,671,D,A,E,B,B,B,E,C,2015,233039.26
015763,0,31Jan2015,IN,160741.12,1.44978,0.001481,132276.31,MA07,671,D,A,E,B,B,B,E,C,2015,233039.26
851024,0,31Jan2015,IN,56970.37,1.44978,0.001481,84246.39,MA07,658,B,D,C,D,B,B,E,F,2015,82594.50
215475,0,31Jan2015,IN,35706.29,1.44978,0.004611,52977.42,MA11,634,D,C,A,F,B,B,A,F,2015,51766.27
568488,0,31Jan2015,OO,182477.96,1.44978,0.006833,269027.45,MA12,620,E,D,B,C,C,C,A,C,2015,264552.90
398179,0,31Jan2015,OO,0.01,1.44978,0.000159,47663.82,MA02,704,D,A,B,M,B,B,E,D,2015,0.02
321886,0,31Jan2015,OO,62098.08,1.44978,0.004441,91829.12,MA11,628,C,D,E,E,B,B,E,F,2015,90028.55
866555,0,31Jan2015,IN,0.78,1.44978,0.000408,96847.11,MA03,700,C,A,C,M,B,B,E,C,2015,1.12
866555,0,31Jan2015,IN,0.78,1.44978,0.000408,157544.46,MA03,700,C,A,C,M,B,B,E,C,2015,1.12
866555,0,31Jan2015,IN,0.78,1.44978,0.000408,102255.86,MA03,700,C,A,C,M,B,B,E,C,2015,1.12
390248,0,31Jan2015,IN,230481.91,1.44978,0.003064,147470.24,MA10,647,B,E,D,B,B,C,E,C,2015,334148.06
390248,0,31Jan2015,IN,230481.91,1.44978,0.003064,234158.30,MA10,647,B,E,D,B,B,C,E,C,2015,334148.06
896019,0,31Jan2015,IN,232.07,1.44978,0.000165,47798.92,MA02,706,C,A,B,M,B,B,E,D,2015,336.45
616775,0,31Jan2015,OO,58159.49,1.44978,0.021126,85760.12,MA14,598,E,A,D,G,C,C,A,E,2015,84318.46
589645,0,31Jan2015,OO,48393.95,1.44978,0.000393,74981.18,MA03,677,C,E,E,L,A,B,E,E,2015,70160.58
357982,0,31Jan2015,OO,38650.32,1.44978,0.000159,229396.63,MA02,713,C,A,B,M,A,B,E,E,2015,56034.46
388713,0,31Jan2015,IN,81420.99,1.44978,0.001481,55944.83,MA07,657,B,D,D,L,C,B,E,D,2015,118042.52
388713,0,31Jan2015,IN,81420.99,1.44978,0.001481,72949.48,MA07,657,B,D,D,L,C,B,E,D,2015,118042.52
730130,0,31Jan2015,IN,297368.95,1.44978,0.000408,90461.23,MA03,686,C,F,C,M,C,B,E,E,2015,431119.56
730130,0,31Jan2015,IN,297368.95,1.44978,0.000408,609901.12,MA03,686,C,F,C,M,C,B,E,E,2015,431119.56
069342,0,31Jan2015,IN,75936.10,1.44978,0.000165,10329.52,MA02,711,C,A,C,M,A,B,E,D,2015,110090.63
069342,0,31Jan2015,IN,75936.10,1.44978,0.000165,137801.02,MA02,711,C,A,C,M,A,B,E,D,2015,110090.63
261133,0,31Jan2015,IN,74749.83,1.44978,0.013045,110850.67,MA13,605,C,A,C,H,D,B,B,F,2015,108370.81
129989,0,31Jan2015,OO,117144.44,1.44978,0.012566,173230.35,MA13,606,C,E,D,E,A,C,A,F,2015,169833.67
743394,0,31Jan2015,OO,0.01,1.44978,0.000159,90787.84,MA02,712,C,D,A,M,B,B,E,D,2015,0.01
626777,0,31Jan2015,OO,9.01,1.44978,0.000393,5011.93,MA03,702,C,A,C,M,B,B,E,D,2015,13.07
688348,0,31Jan2015,IN,23491.59,1.44978,0.000165,47058.34,MA02,728,E,A,A,M,A,B,E,D,2015,34057.64
700702,0,31Jan2015,OO,0.00,1.44978,0.000159,80962.68,MA02,711,E,A,C,M,B,B,E,D,2015,0.00
786656,0,31Jan2015,OO,63094.42,1.44978,0.000393,102339.80,MA03,701,B,D,B,M,B,B,E,F,2015,91473.02
633848,0,31Jan2015,IN,14746.81,1.44978,0.000165,3027.05,MA02,715,C,A,B,M,A,B,E,D,2015,21379.63
633848,0,31Jan2015,IN,14746.81,1.44978,0.000165,30192.81,MA02,715,C,A,B,M,A,B,E,D,2015,21379.63
899023,0,31Jan2015,OO,0.41,1.44978,0.000393,147034.67,MA03,697,E,D,C,M,C,B,E,E,2015,0.60
021131,0,31Jan2015,OO,35581.24,1.44978,0.000393,68236.06,MA03,701,D,B,A,M,C,B,E,F,2015,51584.97
277449,0,31Jan2015,OO,108813.87,1.44978,0.001427,160911.29,MA07,668,C,D,D,B,B,B,E,B,2015,157756.17
381995,0,31Jan2015,IN,79432.45,1.44978,0.013045,117480.75,MA13,608,C,A,C,G,C,B,B,E,2015,115159.58
055880,0,31Jan2015,OO,0.37,1.44978,0.000393,76951.01,MA03,702,C,A,C,M,B,B,E,D,2015,0.54
886380,0,31Jan2015,IN,91458.56,1.44978,0.000408,76289.33,MA03,701,A,A,B,M,A,B,E,D,2015,132594.78
886380,0,31Jan2015,IN,91458.56,1.44978,0.000408,97581.13,MA03,701,A,A,B,M,A,B,E,D,2015,132594.78
140135,0,31Jan2015,OO,23646.02,1.44978,0.000159,68034.62,MA02,711,C,A,C,M,A,B,E,D,2015,34281.53
686690,0,31Jan2015,IN,122659.14,1.44978,0.013045,27343.75,MA13,610,C,A,E,B,E,D,A,C,2015,177828.76
686690,0,31Jan2015,IN,122659.14,1.44978,0.013045,153408.00,MA13,610,C,A,E,B,E,D,A,C,2015,177828.76
981208,0,31Jan2015,OO,71060.34,1.44978,0.006833,105150.65,MA12,625,C,A,D,G,C,B,E,D,2015,103021.86
501200,0,31Jan2015,IN,65577.14,1.44978,0.007094,96973.87,MA12,622,D,C,D,C,B,C,A,C,2015,95072.42
672323,0,31Jan2015,OO,89118.90,1.44978,0.000393,139232.86,MA03,684,D,C,C,L,A,B,E,F,2015,129202.80
164338,0,31Jan2015,IN,0.00,1.44978,0.000408,38199.26,MA03,703,C,E,C,M,B,B,E,D,2015,0.00
164338,0,31Jan2015,IN,0.00,1.44978,0.000408,32907.55,MA03,703,C,E,C,M,B,B,E,D,2015,0.00
128214,0,31Jan2015,OO,68664.39,1.44978,0.000393,143997.69,MA03,682,C,E,E,M,C,B,E,E,2015,99548.26
986423,0,31Jan2015,IN,96110.86,1.44978,0.021932,141874.25,MA14,595,C,C,D,C,E,D,A,C,2015,139339.60
690356,0,31Jan2015,OO,106907.52,1.44978,0.001427,163468.56,MA07,662,B,F,D,B,B,B,E,B,2015,154992.38
193801,0,31Jan2015,IN,138516.58,1.44978,0.003064,40964.08,MA10,648,B,C,D,B,B,D,E,C,2015,200818.57
193801,0,31Jan2015,IN,138516.58,1.44978,0.003064,163870.86,MA10,648,B,C,D,B,B,D,E,C,2015,200818.57
812819,0,31Jan2015,IN,68703.15,1.44978,0.001481,80706.40,MA07,652,B,B,D,B,B,D,E,C,2015,99604.45
812819,0,31Jan2015,IN,68703.15,1.44978,0.001481,20890.14,MA07,652,B,B,D,B,B,D,E,C,2015,99604.45
606219,0,31Jan2015,IN,14128.88,1.44978,0.004611,20893.45,MA11,638,D,B,A,F,B,B,A,F,2015,20483.77
752752,0,31Jan2015,IN,18859.72,1.44978,0.001481,119136.00,MA07,656,E,A,C,A,A,B,E,A,2015,27342.45
235188,0,31Jan2015,OO,25646.49,1.44978,0.000393,38230.83,MA03,685,D,A,D,M,C,B,E,D,2015,37181.77
235188,0,31Jan2015,OO,25646.49,1.44978,0.000393,16112.81,MA03,685,D,A,D,M,C,B,E,D,2015,37181.77
922467,0,31Jan2015,IN,73438.94,1.44978,0.003064,34923.49,MA10,643,C,E,E,L,C,B,E,B,2015,106470.31
922467,0,31Jan2015,IN,73438.94,1.44978,0.003064,75431.31,MA10,643,C,E,E,L,C,B,E,B,2015,106470.31
190844,0,31Jan2015,OO,149375.92,1.44978,0.000159,270210.80,MA02,718,E,A,C,M,A,B,E,E,2015,216562.22
883792,0,31Jan2015,OO,97520.54,1.44978,0.001427,145137.35,MA07,652,C,C,C,G,A,B,E,F,2015,141383.32
569713,0,31Jan2015,OO,173158.42,1.44978,0.004441,257493.34,MA11,629,C,F,D,H,C,B,E,F,2015,251041.61
243234,0,31Jan2015,OO,129.02,1.44978,0.000393,16753.97,MA03,696,C,A,A,M,C,B,E,D,2015,187.04
641816,0,31Jan2015,OO,53007.92,1.44978,0.001427,78766.04,MA07,653,E,B,B,G,B,B,A,F,2015,76849.82
999795,0,31Jan2015,OO,60300.24,1.44978,0.000393,80803.91,MA03,686,C,E,B,L,A,B,E,E,2015,87422.09
999795,0,31Jan2015,OO,60300.24,1.44978,0.000393,15849.07,MA03,686,C,E,B,L,A,B,E,E,2015,87422.09
008450,0,31Jan2015,IN,76936.32,1.44978,0.001481,10200.00,MA07,659,C,A,B,B,D,B,E,A,2015,111540.74
008450,0,31Jan2015,IN,76936.32,1.44978,0.001481,117591.24,MA07,659,C,A,B,B,D,B,E,A,2015,111540.74
430667,0,31Jan2015,IN,265966.96,1.44978,0.001481,286715.06,MA07,672,C,F,E,M,D,B,E,C,2015,385593.58
430667,0,31Jan2015,IN,265966.96,1.44978,0.001481,129491.00,MA07,672,C,F,E,M,D,B,E,C,2015,385593.58
062786,0,31Jan2015,IN,52909.58,1.44978,0.004611,78153.76,MA11,639,D,E,C,G,B,B,E,D,2015,76707.25
062786,0,31Jan2015,IN,52909.58,1.44978,0.004611,497.45,MA11,639,D,E,C,G,B,B,E,D,2015,76707.25
632653,0,31Jan2015,OO,29998.91,1.44978,0.000393,44361.65,MA03,677,C,F,D,B,B,B,E,C,2015,43491.82
221470,0,31Jan2015,OO,20636.61,1.44978,0.000159,79270.72,MA02,711,C,A,C,M,A,B,E,D,2015,29918.54
005343,0,31Jan2015,IN,167093.64,1.44978,0.000165,129742.05,MA02,704,C,F,E,M,A,B,E,C,2015,242249.02
005343,0,31Jan2015,IN,167093.64,1.44978,0.000165,107600.63,MA02,704,C,F,E,M,A,B,E,C,2015,242249.02
005343,0,31Jan2015,IN,167093.64,1.44978,0.000165,62292.08,MA02,704,C,F,E,M,A,B,E,C,2015,242249.02
620737,0,31Jan2015,OO,91109.99,1.44978,0.002951,60307.70,MA10,642,E,A,D,F,A,B,A,D,2015,132089.44
620737,0,31Jan2015,OO,91109.99,1.44978,0.002951,74918.56,MA10,642,E,A,D,F,A,B,A,D,2015,132089.44
007524,0,31Jan2015,OO,63539.65,1.44978,0.000393,100087.90,MA03,686,C,E,B,L,A,B,E,E,2015,92118.52
324943,0,31Jan2015,OO,57451.26,1.44978,0.012566,88668.33,MA13,608,B,F,C,K,A,A,E,E,2015,83291.69
389744,0,31Jan2015,OO,79245.27,1.44978,0.001427,119003.27,MA07,667,D,C,D,J,A,B,E,F,2015,114888.21
